feature_id,feature_title,feature_lexeme,feature_description,collected,compiled,updated_day,updated_month,updated_year,domain,settlement,value,stimuli,answer
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Ikhrek,-nen,Никто не пришёл.,wišnen jirqʼɨš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Ikhrek,-ne / -nä,Никто не пришёл.,wɨšne jirqʼɨš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Ikhrek,-nen,Никто не пришёл.,wɨšnen jirqʼɨš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Myukhrek,-nɨ,Никто не пришёл.,wɨšnɨ jirqʼɨr dɨš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Tsudik,-ne / -nä,Никто не пришёл.,wɨšne jirqʼɨr dɨš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Myukhrek,-nɨ,Никто не пришёл.,wɨšnɨ jirqʼɨr dɨš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Dzhilikhur,-na,Никто не пришёл.,wušna jirqʼɨrdiš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Dzhilikhur,-na ; -ni,Никто не пришёл.,wušna jirqʼɨrdiš / wušni jirqʼɨrdiš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Dzhilikhur,-nɨ,Никто не пришёл.,wɨšnɨ jirqʼɨrdiš
199,Absolutive marker of negative pronouns,,"This feature shows the distribution of the suffixes used in the absolutive forms of the negative pronoun ‘no one‘. This suffix is used to derive the negative pronoun from the absolutive root ‘who?’. The speakers were asked to translate the sentence ‘**Nobody** came’. For each speaker, first reaction was coded (although the elicitor tried to make sure that this reaction was not an error due to the misunderstanding of the context).
The feature shows great variance in form of the absolutive suffix. While the variant -*ne* / -*nä* is used by many speakers in different villages, many others are attested as well: -*nen* in Ikhrek, -*nɨ* in Myukhrek, -*na* in Kina, -*nik* in Shinaz, -*ni* and -*neki* / -*näki* in different villages.",Maksim Melenchenko,Maksim Melenchenko,8,3,2024,Other,Kina,-na,Никто не пришёл.,wušna jidqʼɨrdiš
