feature_id,feature_title,feature_lexeme,feature_description,collected,compiled,updated_day,updated_month,updated_year,domain,settlement,value,stimuli,answer
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Maksim Melenchenko,Ilya Sadakov,16,4,2023,Pronoun,Kina,zɨ,Я рутулец,zɨ mɨχaˁdɨ jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kina,zɨ,Я рутулец,zɨ mɨχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Luchek,zɨ,Я рутулец,zɨ mɨχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Luchek,zɨ,Я рутулец,zɨ mɨχašura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Myukhrek,zɨ,Я из Мюхрека,zɨ mɨˁxreklaːd i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Myukhrek,zɨ,Я рутулец,zɨ mɨχašur jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Ikhrek,zɨ,Я рутулец,zɨ rutulec
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Ikhrek,zɨ,Я рутулец,zɨ mɨχaˁšur jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Dzhilikhur,zɨ,Я рутулец,zɨ mɨˁχaˁdɨ i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Dzhilikhur,zɨ,Я рутулец,zɨ mɨχaˁdɨ ji
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Khnov,ji,Я рутулец,ji mɨˁχašur i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Khnov,ji,Я рутулец,ji mɨˁχaˁšur i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Khnov,ji,Я рутулец,ji mɨˁχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kiche,zɨ,Я рутулец,zɨ mɨˁχaˁšur a
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kiche,zɨ,Я рутулец,zɨ mɨˁχaːdɨ jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Shinaz,zɨ,Я рутулец,zɨ rutulec jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Shinaz,zɨ,Я рутулец,zɨ mɨˁχaˁšur a
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kala,zɨ,Я рутулец,zɨ mɨχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kala,zɨ,Я рутулец,zɨ mɨˁχaˁːd jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Amsar,zɨ,Я рутулец,zɨ mɨˁχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Amsar,zɨ,Я рутулец,zɨ mɨˁχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Rutul,zɨ,Я рутулец,zɨ mɨˁχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Rutul,zɨ,Я рутулец,zɨ mɨˁχaˁšura i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kufa,zɨ,Я рутулец,zɨ mɨχaˁšura jiʔi
12,"Forms of pronoun 1SG (ABS, ERG)",I.ABS,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kufa,zɨ,Я рутулец,zɨ mɨˁχaˁːdɨ i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Maksim Melenchenko,Ilya Sadakov,16,4,2023,Pronoun,Kina,zad,Я так сказал,zad ha:sa huxura
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kina,zad,Я так сказал,zad haasa huxur
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Luchek,zad,Я так сказал,zad haasa huxud i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Luchek,zad,Я так сказал,zad haasa huxur
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Myukhrek,zada,Я так сказал,zada miisa huxurij
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Myukhrek,zad,Я так сказал,zad haasa huxurij
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Ikhrek,zɨj ; zatti,Я так сказал,zɨj / zatti haasa huxuri
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Ikhrek,zɨj,Я так сказал,zɨj haasa huxuri
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Dzhilikhur,zad,Я так сказал,zad haasa huxura
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Dzhilikhur,zad,Я так сказал,zad haasa huxur a
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Khnov,jiǯ,Я так сказал,jiǯ hawasa hɨfɨr i
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Khnov,jiǯ,Я так сказал,jiǯ hawasa hɨfɨ
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Khnov,jiǯ,Я так сказал,jiǯ hawasa hɨfɨri
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kiche,za,Я так сказал,za hemise huxuri
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Kiche,za,Я так сказал,za haasa huxur
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Shinaz,zɨj,Я так сказал,zɨj haas xu
12,"Forms of pronoun 1SG (ABS, ERG)",I.ERG,Forms of the personal pronoun 1SG ('I') — absolutive and ergative,Ilya Sadakov,Ilya Sadakov,16,4,2023,Pronoun,Shinaz,zɨj,Я так сказал,zɨj haas xur
