village_1,village_2,distance
Amsar,Amsar,0
Amsar,Dzhilikhur,8.284215609233172
Amsar,Ikhrek,15.324714912553763
Amsar,Kala,2.849564007193163
Amsar,Khnov,30.35906348906972
Amsar,Kiche,18.1119334316062
Amsar,Kina,7.460582424345507
Amsar,Kufa,6.019326318070188
Amsar,Luchek,2.6958550650039266
Amsar,Myukhrek,11.380929225993377
Amsar,Rutul,12.013849009286368
Amsar,Shinaz,7.046733583367704
Dzhilikhur,Amsar,8.284215609233172
Dzhilikhur,Dzhilikhur,0
Dzhilikhur,Ikhrek,7.0404993033205905
Dzhilikhur,Kala,11.133779616426335
Dzhilikhur,Khnov,38.64327909830289
Dzhilikhur,Kiche,26.396149040839372
Dzhilikhur,Kina,10.353087903570827
Dzhilikhur,Kufa,14.30354192730336
Dzhilikhur,Luchek,5.588360544229246
Dzhilikhur,Myukhrek,3.096713616760204
Dzhilikhur,Rutul,20.29806461851954
Dzhilikhur,Shinaz,15.330949192600876
Ikhrek,Amsar,15.324714912553763
Ikhrek,Dzhilikhur,7.0404993033205905
Ikhrek,Ikhrek,0
Ikhrek,Kala,18.174278919746925
Ikhrek,Khnov,45.683778401623485
Ikhrek,Kiche,33.43664834415996
Ikhrek,Kina,17.393587206891418
Ikhrek,Kufa,21.34404123062395
Ikhrek,Luchek,12.628859847549837
Ikhrek,Myukhrek,10.137212920080795
Ikhrek,Rutul,27.33856392184013
Ikhrek,Shinaz,22.371448495921467
Kala,Amsar,2.849564007193163
Kala,Dzhilikhur,11.133779616426336
Kala,Ikhrek,18.174278919746925
Kala,Kala,0
Kala,Khnov,27.50949948187656
Kala,Kiche,15.262369424413038
Kala,Kina,10.31014643153867
Kala,Kufa,3.169762310877025
Kala,Luchek,5.54541907219709
Kala,Myukhrek,14.23049323318654
Kala,Rutul,9.164285002093205
Kala,Shinaz,4.197169576174541
Khnov,Amsar,30.35906348906972
Khnov,Dzhilikhur,38.64327909830289
Khnov,Ikhrek,45.683778401623485
Khnov,Kala,27.509499481876556
Khnov,Khnov,0
Khnov,Kiche,12.24713005746352
Khnov,Kina,37.81964591341522
Khnov,Kufa,24.33973717099953
Khnov,Luchek,33.054918554073645
Khnov,Myukhrek,41.739992715063096
Khnov,Rutul,18.34521447978335
Khnov,Shinaz,31.706669058051098
Kiche,Amsar,18.1119334316062
Kiche,Dzhilikhur,26.396149040839372
Kiche,Ikhrek,33.43664834415996
Kiche,Kala,15.262369424413038
Kiche,Khnov,12.24713005746352
Kiche,Kiche,0
Kiche,Kina,25.572515855951707
Kiche,Kufa,12.092607113536012
Kiche,Luchek,20.807788496610126
Kiche,Myukhrek,29.492862657599577
Kiche,Rutul,6.098084422319832
Kiche,Shinaz,19.45953900058758
Kina,Amsar,7.460582424345507
Kina,Dzhilikhur,10.353087903570827
Kina,Ikhrek,17.393587206891418
Kina,Kala,10.31014643153867
Kina,Khnov,37.81964591341523
Kina,Kiche,25.572515855951707
Kina,Kina,0
Kina,Kufa,13.479908742415695
Kina,Luchek,4.76472735934158
Kina,Myukhrek,13.449801520331032
Kina,Rutul,19.474431433631874
Kina,Shinaz,14.50731600771321
Kufa,Amsar,6.019326318070188
Kufa,Dzhilikhur,14.30354192730336
Kufa,Ikhrek,21.34404123062395
Kufa,Kala,3.169762310877025
Kufa,Khnov,24.339737170999534
Kufa,Kiche,12.092607113536012
Kufa,Kina,13.479908742415695
Kufa,Kufa,0
Kufa,Luchek,8.715181383074114
Kufa,Myukhrek,17.400255544063565
Kufa,Rutul,5.994522691216179
Kufa,Shinaz,7.366931887051566
Luchek,Amsar,2.6958550650039266
Luchek,Dzhilikhur,5.588360544229246
Luchek,Ikhrek,12.628859847549837
Luchek,Kala,5.54541907219709
Luchek,Khnov,33.054918554073645
Luchek,Kiche,20.807788496610126
Luchek,Kina,4.76472735934158
Luchek,Kufa,8.715181383074114
Luchek,Luchek,0
Luchek,Myukhrek,8.685074160989451
Luchek,Rutul,14.709704074290293
Luchek,Shinaz,9.74258864837163
Myukhrek,Amsar,11.380929225993377
Myukhrek,Dzhilikhur,3.096713616760204
Myukhrek,Ikhrek,10.137212920080795
Myukhrek,Kala,14.23049323318654
Myukhrek,Khnov,41.739992715063096
Myukhrek,Kiche,29.492862657599577
Myukhrek,Kina,13.449801520331032
Myukhrek,Kufa,17.400255544063565
Myukhrek,Luchek,8.685074160989451
Myukhrek,Myukhrek,0
Myukhrek,Rutul,23.394778235279745
Myukhrek,Shinaz,18.42766280936108
Rutul,Amsar,12.013849009286368
Rutul,Dzhilikhur,20.29806461851954
Rutul,Ikhrek,27.33856392184013
Rutul,Kala,9.164285002093205
Rutul,Khnov,18.34521447978335
Rutul,Kiche,6.098084422319832
Rutul,Kina,19.474431433631874
Rutul,Kufa,5.994522691216179
Rutul,Luchek,14.709704074290293
Rutul,Myukhrek,23.394778235279745
Rutul,Rutul,0
Rutul,Shinaz,13.361454578267747
Shinaz,Amsar,7.046733583367704
Shinaz,Dzhilikhur,15.330949192600876
Shinaz,Ikhrek,22.371448495921467
Shinaz,Kala,4.197169576174541
Shinaz,Khnov,31.706669058051098
Shinaz,Kiche,19.459539000587576
Shinaz,Kina,14.50731600771321
Shinaz,Kufa,7.366931887051566
Shinaz,Luchek,9.74258864837163
Shinaz,Myukhrek,18.42766280936108
Shinaz,Rutul,13.361454578267745
Shinaz,Shinaz,0
